name,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
Premsa de Vi de Can Xandri,431942.0103496448,4587726.366152999,41.43822585647148,2.1853478240155115
La plaça de les Glòries Catalanes,432070.6458999196,4583768.760754078,41.40259189980736,2.18733195275548
Casa Lleó Morera,430232.9960096403,4582533.7414273815,41.391311136498935,2.165491865898989
Jardins de les Tres Xemeneies,430795.2089308493,4580659.975829925,41.37448327029571,2.172430025242432
Parc de la Font Florida,428164.66164525656,4580036.186371264,41.368634514222805,2.14105045396157
Zona de Banys,434953.1247181961,4584683.244402898,41.41106682138965,2.221714876463801
Escultura Mistos,429104.7590482898,4586934.176288257,41.43084545648815,2.151482440531504
Parc de la Creueta del Coll,428655.06968450494,4585652.736681833,41.419264262411424,2.1462520569914068
Fira Barcelona,428935.2430560284,4580481.976181729,41.3727179943061,2.150211222762335
La plaça d'Orfila,432408.7428656056,4587501.997432232,41.43624446859994,2.1909591589263973
El Tibidabo,426736.9083136772,4585632.937464841,41.41891333512116,2.1233033539813286
Bar Musical London Bar,430861.8411993425,4581066.376876397,41.37814933333809,2.1731803971737738
Font Màgica - Fonts de Montjuïc *Aturada degut a la situació d'alerta per sequera,429252.11603365705,4580200.161999608,41.37020770355242,2.154032861702001
La Maquinista Terrestre i Marítima,432331.86483027134,4581440.380523354,41.38164285238863,2.1907168710652614
Unió de Cooperatives per a la Fabricació de Pastes per a Sopa,430438.1563061222,4581128.873179454,41.37867570317367,2.1681069096683667
Casa Sarriera,431322.071628649,4581534.827397944,41.382407945809554,2.178630636272102
Bibiblioteca Rector Gabriel Ferraté,425980.2854158732,4582197.376805042,41.38790151896208,2.1146704334958524
Conservatori Municipal de Música de Barcelona,430450.6797890641,4583041.1785217095,41.39590030798757,2.1680371208078077
Teatro de los Sentidos,428342.4220201369,4579548.705169165,41.36425978367883,2.1432333432874637
Cementiri Sant Genís,427857.9792149769,4586628.587002354,41.42798213665874,2.1365982986152545
Cooperativa Obrera Popular Segle XX,432201.127101033,4581442.022481134,41.38164663472414,2.189153267840029
L'Aquàrium de Barcelona - Aspro Parks,431797.2851355705,4580908.295609506,41.37680536906014,2.1843840154597025
Religioses de la Mare de Déu de la Mercè,427910.3762312826,4584177.317908498,41.40590933439461,2.1375174554869414
La Torre Blanca,426324.1910358245,4582367.742217858,41.38946749792318,2.11876260601679
Pilar d'Aigua de Sant Andreu,431927.3476684418,4586853.15665729,41.4303599257898,2.1852706828435733
La Plaça de les Havaneres,431701.1720684331,4585844.271443607,41.42125404672891,2.1826779224213384
'La Masia' del Barça,426548.3410473718,4581496.684766708,41.38164275556459,2.1215489678471395
"""Vivendes"" del Congrés Eucarístic",431610.60884430015,4586353.53046205,41.42583306266904,2.181536675794661
Antiga Biblioteca Infantil del GATCPAC,432014.2707790103,4587079.629468135,41.43240704975568,2.186285451200647
Parc d'Atraccions del Tibidabo,426358.63780085,4585937.12616186,41.42161843553102,2.118740285636823
Centre Cultural La Farinera del Clot,432162.6999545572,4584021.828304472,41.40487897583886,2.18840476699031
Places de Joaquim Folguera i Frederic Soler,428026.79811199,4584122.855464401,41.40542924572357,2.1389166559414927
El Conjunt Residencial de Les Escales Park,426045.0336854849,4582657.082333938,41.39204783587929,2.1153886541782843
El passatge de Tubella,427752.9382891695,4581715.635889473,41.38372383321053,2.135927755117388
Colònia Carné,426167.4038674722,4580965.341869859,41.376822310380064,2.117058367742885
La plaça de Pedralbes,425951.34750582615,4583066.777316636,41.395729151007615,2.114218062249275
Herboristeria del Rei,431019.5796076379,4581348.909150916,41.38070755674348,2.175034436574318
L'Auditori de Barcelona,431885.0337887164,4583346.43383598,41.39877242493477,2.185159128100962
Hotel Melia Barcelona Sky - HB-004358,433186.4009803291,4584168.772075232,41.40628819017893,2.200634797754356
Casa Carreras,425512.1318141464,4582884.669996655,41.39404843334341,2.108987100941613
La plaça del Monestir,425842.59354494326,4583147.022510029,41.39644186075786,2.1129074520593005
Parc de Diagonal Mar,434157.96080684,4584404.36848959,41.40849031137141,2.212231951523546
La Porta Est de la Finca Güell,426617.8422769868,4581930.81854509,41.38555915734198,2.1223275022909265
Centre Cívic Sarrià,426531.9039098267,4582858.46247544,41.39390619967619,2.1211872573336934
Edifici de la Fàbrica Moritz - Espai Gastronòmic i Cultural,430051.7049739298,4581560.654885423,41.38253112132162,2.1634359544972748
Parc del Centre del Poblenou,433113.5806764498,4584225.555507102,41.40679356695045,2.199757373643509
Centre Penitenciari Obert 2  - Presó de Dones de la Trinitat,432468.7858982731,4589420.470760189,41.45352852329394,2.191463299081721
Parc de la Primavera,430239.2994283526,4580219.047020415,41.37046396116055,2.1658337161656225
